,PLAYER,TEAM,AGE,games played,W,L,avg minutes per game,PTS,FGM (field goals made AKA num baskets made),FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year
87,Maya Caldwell,ATL,25,25,9,16,16.2,5.2,2.1,5,41.6,0.6,2,30,0.5,0.6,80,0.8,1,1.8,1.1,0.9,0.6,0.2,1.2,10.3,0,0,-4.2,2024
88,Li Yueru,LAS,25,38,7,31,14.4,5.1,1.8,3.9,46.3,0.1,0.4,26.7,1.4,1.6,89.8,1.4,2.2,3.7,0.6,0.9,0.3,0.2,2.1,10.6,1,0,-2.4,2024
89,Sami Whitcomb,SEA,36,40,25,15,15.3,5,1.8,5.2,34.6,1.2,4,29.2,0.2,0.3,81.8,0.4,1.5,1.9,1.6,1,0.8,0.2,1.4,11.6,0,0,1,2024
90,Nyara Sabally,NYL,24,26,20,6,13.5,4.9,1.9,3.3,57.5,0,0.1,0,1.1,1.5,70,1.3,2.7,4,0.6,0.5,0.9,0.7,1.6,12.8,1,0,2.8,2024
91,Tiffany Mitchell,CON,30,24,18,6,16.3,4.9,1.6,4.5,34.9,0.3,1,25,1.5,1.9,78.3,0.5,1.1,1.5,0.8,0.6,0.5,0,1.2,8.5,0,0,2.6,2024
92,Natisha Hiedeman,MIN,27,40,30,10,15.2,4.9,1.8,4.8,38,0.6,2.1,28,0.6,0.9,73.5,0.4,1.2,1.6,2.4,1.1,0.8,0.2,1.2,11.3,0,0,-0.5,2024
93,Dorka Juhász,MIN,24,34,26,8,16.1,4.8,2,4.2,47.9,0.3,1,32.4,0.4,0.6,65,0.9,2.9,3.8,1.1,0.6,0.4,0.4,1.1,11.6,1,0,1.9,2024
94,Kristy Wallace,IND,28,26,11,15,17.2,4.7,1.8,4.5,40.2,0.7,2.2,29.3,0.5,0.7,66.7,0.4,1.4,1.8,1.7,0.7,0.7,0.2,1.1,10.8,0,0,-3.2,2024
95,Cecilia Zandalasini,MIN,28,40,30,10,12.2,4.6,1.7,3.7,45.3,0.8,1.8,44.3,0.5,0.7,62.1,0.1,1,1.2,1.1,0.8,0.4,0.2,1.4,8.8,0,0,0.2,2024
96,Diamond DeShields,CHI,29,32,11,21,13.8,4.5,1.8,5,34.8,0.3,1.6,17.3,0.7,1.1,61.1,0.2,1.2,1.4,1.3,0.9,0.6,0.3,1.6,9.3,0,0,-3.9,2024
97,Damiris Dantas,IND,31,20,12,8,10.5,4.5,1.7,3.7,45.9,0.7,1.7,39.4,0.4,0.6,66.7,0.2,2,2.2,0.6,0.6,0.3,0.3,1,8.9,0,0,1.1,2024
98,Sevgi Uzun,DAL,26,40,9,31,20.5,4.4,1.7,5,34.2,0.5,2.1,23.8,0.5,0.6,82.6,0.2,1.4,1.6,3,1.8,0.9,0.3,1.5,11.9,0,0,-2.8,2024
99,Layshia Clarendon,LAS,33,21,5,16,15.9,4.3,1.5,3.6,42.7,0.3,1,35,1,1.1,87,0.3,1.5,1.8,2.6,1.2,0.7,0,2.1,10.6,1,1,-2.2,2024
100,Katie Lou Samuelson,IND,27,37,18,19,18.2,4.3,1.4,3.9,34.9,0.9,2.7,33,0.6,0.7,96,0.5,1.8,2.3,1.4,0.5,0.3,0.2,1.4,10,0,0,-2.3,2024
101,Destanni Henderson,ATL,25,6,0,6,17.5,4,1.7,4.8,34.5,0.2,1.7,10,0.5,1.2,42.9,0,2,2,2.5,1.7,0.3,0.2,0.8,9.7,0,0,-2.7,2024
102,Sika Koné,WAS,22,27,19,8,8,4,1.3,3.1,42.9,0.1,0.3,57.1,1.1,1.3,86.1,0.5,1.5,2,0.4,0.5,0.2,0.1,0.9,7.2,0,0,1,2024
103,Mercedes Russell,SEA,29,37,25,12,15.8,3.9,1.7,3.2,51.7,0,0,0,0.6,0.9,63.6,0.7,2.3,3,0.8,0.7,0.6,0.2,1.2,9.4,0,0,0.9,2024
104,Haley Jones,ATL,23,40,15,25,17.8,3.9,1.5,3.7,39.7,0.2,0.7,21.4,0.8,1.2,70.2,0.3,2,2.2,2.1,1.7,0.4,0.3,2,9.6,0,0,-2.4,2024
105,Natasha Mack,PHO,27,40,19,21,15.5,3.8,1.8,3.1,57.3,0,0.1,0,0.3,0.5,57.9,1.5,3.5,5,1.1,0.7,0.7,1.2,1.4,13.6,0,0,-2.1,2024
106,Megan Gustafson,LVA,27,38,25,13,10.7,3.7,1.4,2.8,50,0.6,1.5,38.6,0.3,0.4,76.5,0.6,1.3,1.9,0.2,0.4,0.3,0.1,1.6,7.4,0,0,1.3,2024
107,Erica Wheeler,IND,33,39,20,19,14,3.6,1.5,3.6,41.1,0.4,1.3,28.8,0.3,0.3,84.6,0.2,1.2,1.4,1.8,0.9,0.4,0.1,1.2,8.2,0,0,-1.2,2024
108,Zia Cooke,LAS,23,29,6,23,8.9,3.6,1.2,3.9,32.1,0.4,1.3,29.7,0.7,1,69,0.1,0.5,0.6,0.6,0.7,0.3,0.1,0.8,6,0,0,-2,2024
109,Stephanie Talbot,LAS,30,37,8,29,16.2,3.5,1.3,3.4,39.5,0.4,1.4,26,0.5,0.8,69,0.6,2.2,2.7,2.1,1,0.5,0.5,1.4,10.6,0,0,-1.4,2024
110,Kennedy Burke,NYL,27,38,30,8,12.1,3.4,1.4,3.5,40.9,0.4,1.5,25.9,0.2,0.3,66.7,0.4,1.2,1.5,0.9,0.7,0.6,0.3,1,8.1,0,0,0.9,2024
111,Olivia Nelson-Ododa,CON,24,37,26,11,11.8,3.4,1.3,2.7,49.5,0,0,0,0.7,1.1,65.9,0.8,1.7,2.5,0.2,0.8,0.4,0.6,1.7,8,0,0,1.1,2024
112,Ivana Dojkić,NYL,26,26,22,4,9.9,3.3,1,2.8,33.8,0.6,1.6,38.1,0.8,1,77.8,0.3,0.5,0.8,0.8,0.5,0.3,0,1,6.3,0,0,0.4,2024
113,Nia Coffey,ATL,29,40,15,25,13.3,3.3,1.2,3.7,32.4,0.5,1.7,27.3,0.4,0.5,76.2,0.5,1.9,2.4,1.2,1,0.3,0.7,1.2,9.1,0,0,-3.1,2024
114,Crystal Dangerfield,LAS,26,33,8,25,13.3,3.2,1.1,4,28.2,0.5,1.9,27.4,0.5,0.5,88.2,0.1,1,1,1.9,0.8,0.3,0.2,0.8,7.7,0,0,-3.4,2024
115,Mikiah Herbert Harrigan,PHO,26,31,13,18,10.8,3.2,1.1,2.8,40.7,0.5,1.7,32.1,0.4,0.6,55,0.5,1,1.5,0.3,0.5,0.5,0.4,0.9,7.2,0,0,-3.3,2024
116,Victoria Vivians,SEA,29,35,21,14,12.7,3.1,1.2,3.5,33.3,0.6,2,31.9,0.2,0.3,66.7,0.5,1.4,2,0.8,0.6,0.4,0.2,1.2,7.7,0,0,1.6,2024
117,Veronica Burton,CON,24,31,19,12,12.7,3.1,0.8,2.3,36.1,0.4,1.2,35.1,1,1.2,83.8,0.4,1,1.4,1.9,0.5,0.5,0.2,1,8.2,0,0,3.5,2024
118,Ezinne Kalu,ATL,32,1,1,0,12.7,3,1,3,33.3,0,1,0,1,1,100,0,1,1,0,0,1,0,4,6,0,0,-7,2024
118,Kaela Davis,CHI,29,4,0,4,12.9,3,1,3,33.3,0.5,0.5,100,0.5,1,50,0.3,0.8,1,0.3,1,0.3,0.5,1.3,6.3,0,0,-8,2024
120,Joyner Holmes,SEA,26,27,17,10,8.5,2.9,1.2,2.9,42.3,0.2,1.1,19.4,0.3,0.4,63.6,0.5,1.3,1.8,0.9,0.8,0.2,0.2,1,6.8,1,0,-1.7,2024
121,Diamond Miller,MIN,23,21,14,7,10.1,2.9,1,3.3,30.4,0.2,1.2,19.2,0.7,1.1,58.3,0.4,1.3,1.8,0.6,0.9,0.3,0,1.1,6.3,0,0,-2.7,2024
122,Kierstan Bell,LVA,24,6,6,0,7.2,2.8,1,2.7,37.5,0.7,1.3,50,0.2,0.3,50,0.2,0.8,1,0.8,0.2,0,0,0.8,5.3,0,0,-0.2,2024
123,Grace Berger,IND,25,11,4,7,9.3,2.8,0.9,2.3,40,0.2,0.5,40,0.8,1.3,64.3,0.4,1,1.4,0.6,0.9,0.5,0,1.1,5.9,0,0,-1.3,2024
