,PLAYER,TEAM,AGE,games played,W,L,avg minutes per game,PTS,FGM (field goals made AKA num baskets made),FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year
145,Ify Ibekwe,LAS,28,6,4,2,3.9,1,0.2,1.5,11.1,0,0.3,0,0.7,1,66.7,0.3,0.5,0.8,0,0.3,0.2,0,0.8,2.2,0,0,0.7,2017
148,Evelyn Akhator,DAL,23,15,7,8,4.1,0.9,0.3,1.1,25,0,0,0,0.3,0.4,83.3,0.5,0.1,0.6,0,0.3,0.1,0.2,0.4,2,0,0,-4.5,2017
149,Lanay Montgomery,SEA,24,7,4,3,4.1,0.9,0.4,1,42.9,0,0,0,0,0,0,0,0.7,0.7,0,0.3,0.1,0.6,0.7,3,0,0,-1.1,2017
150,Cecilia Zandalasini,MIN,22,3,3,0,6.2,0.7,0.3,1.3,25,0,0,0,0,0,0,0,0.3,0.3,0,0.7,0,0,0.7,1,0,0,-7,2017
151,Makayla Epps,CHI,23,17,7,10,3.8,0.6,0.2,1.1,16.7,0,0.3,0,0.3,0.5,55.6,0.1,0.1,0.2,0.4,0.3,0.1,0,0.4,1.4,0,0,-2.2,2017
152,Breanna Lewis,DAL,24,13,5,8,4,0.5,0.2,0.9,16.7,0,0,0,0.2,0.3,75,0.2,0.5,0.7,0.2,0.5,0,0,1.2,1.4,0,0,-3.7,2017
153,Nadia Colhado,IND,29,5,0,5,2.6,0.4,0.2,0.2,100,0,0,0,0,0,0,0.2,0.2,0.4,0,0.2,0,0.2,1,1.2,0,0,-2.6,2017
154,Maimouna Diarra,LAS,27,10,8,2,2,0.3,0.1,0.5,20,0,0,0,0.1,0.2,50,0.4,0.7,1.1,0.1,0.3,0.2,0,0.5,1.9,0,0,0.6,2017
155,Chelsea Hopkins,ATL,27,3,2,1,2.9,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2017
155,Feyonda Fitzgerald,CON,23,2,2,0,3.9,0,0,1.5,0,0,0,0,0,0,0,0.5,1,1.5,1,0.5,0,0,0,2.5,0,0,2.5,2017
155,Sophie Brunner,SAN,22,4,2,2,3.8,0,0,0.3,0,0,0,0,0,0,0,0.3,0.8,1,0,0.3,0,0,0.8,1,0,0,-2,2017
1,Tina Charles,NYL,28,32,20,12,33.7,21.5,8.5,19.4,43.9,0.5,1.5,34.7,3.9,4.8,81.2,2.3,7.6,9.9,3.8,2,0.8,0.8,1.5,39,20,0,1.7,2016
2,Elena Delle Donne,CHI,27,28,14,14,33.2,21.5,7.6,15.8,48.5,1.5,3.6,42.6,4.6,5,93.5,1.7,5.3,7,1.9,1.3,0.6,1.5,2.3,36.1,3,0,0.7,2016
3,Nneka Ogwumike,LAS,26,33,26,7,31.6,19.7,7.4,11.1,66.5,0.5,0.8,61.5,4.4,5.1,86.9,2.3,6.7,9.1,3.1,2.1,1.3,1.2,3.4,37.2,16,0,7.6,2016
4,Angel McCoughtry,ATL,30,33,17,16,30,19.5,6.8,15.6,43.4,0.8,2.6,30.2,5.2,6.6,78.8,1.1,4.5,5.7,2.8,2.9,1.6,0.7,2.4,33.2,3,0,-0.1,2016
5,Maya Moore,MIN,28,34,28,6,29.7,19.3,6.6,14.6,44.8,1.9,4.7,40.4,4.3,4.9,86.8,1.3,3.9,5.1,4.2,2.3,1.6,0.7,2.6,35.1,2,0,10.6,2016
6,Breanna Stewart,SEA,22,34,16,18,34.7,18.3,6.1,13.4,45.7,1.3,3.9,33.8,4.7,5.6,83.3,1.2,8.1,9.3,3.4,2.4,1.2,1.9,2.4,38.5,12,0,3.3,2016
7,Diana Taurasi,PHO,35,33,15,18,29.8,17.8,5.5,13.8,39.6,2.7,7.7,35,4.2,4.7,90.9,0.2,2.8,3,3.9,2.6,0.9,0.1,3,29.5,0,0,1.7,2016
8,Kayla McBride,SAN,25,17,4,13,30.8,17.1,6,16.4,36.7,1.7,5.6,30.5,3.4,4,85.3,0.8,3.2,4,1.9,2,1.1,0.1,1.3,27.1,1,0,-7.4,2016
9,Jewell Loyd,SEA,23,34,16,18,31.6,16.5,5.7,13.3,43.1,1.2,3.9,30.3,3.9,4.3,89.1,1,2.5,3.4,3.4,2.2,1.2,0.3,1.7,27.6,2,0,-0.4,2016
10,Tayler Hill,WAS,26,32,13,19,29.3,15.4,4.3,12.5,34.8,1.9,5.3,35.1,4.8,5.8,82.9,0.4,2.2,2.6,2.9,1.3,1.1,0.1,2.1,25.3,0,0,-2.2,2016
11,Candace Parker,LAS,31,34,26,8,30.8,15.3,5.6,12.6,44.2,1.2,3.2,38.2,2.9,4.1,70.7,1,6.4,7.4,4.9,2.9,1.4,1,2.2,33.5,6,0,5.3,2016
12,Emma Meesseman,WAS,24,34,13,21,29.3,15.2,6.2,11.6,53.3,0.9,2,44.8,2,2.5,80,2,3.6,5.6,2.3,1.3,1.2,0.7,2.6,27.9,5,0,1.2,2016
13,Tiffany Hayes,ATL,27,33,17,16,30.8,15,4.6,10.5,44.1,1,3.5,27.4,4.7,5.9,80.4,1,2.4,3.4,2.4,1.8,1.2,0.2,2.8,24.6,1,0,-0.3,2016
14,Brittney Griner,PHO,26,34,16,18,29.2,14.5,5.2,9.6,54.8,0,0,0,4.1,4.9,83.1,1.4,5.1,6.5,1,2.1,0.4,3.1,3.6,29.1,2,0,3.6,2016
15,Sugar Rodgers,NYL,27,33,21,12,30.5,14.5,4.7,11.7,40.5,2.6,6.3,41.3,2.4,2.9,84.2,0.4,3.2,3.7,2.4,1.8,1.1,0.5,2.6,26.2,0,0,1.5,2016
16,DeWanna Bonner,PHO,29,34,16,18,31.3,14.5,4.5,10.7,42.4,1.5,4.5,32.9,3.9,4.9,79.8,1.2,4.1,5.4,2.4,1.6,1.3,0.6,1.6,27.6,2,0,1.1,2016
17,Odyssey Sims,DAL,24,34,11,23,31.6,14,4.5,12.7,35.3,1.2,4.4,28,3.8,4.3,88.3,0.6,1.9,2.5,3.9,2.5,1.1,0.2,2.3,24.2,0,0,-3.2,2016
18,Sylvia Fowles,MIN,31,34,28,6,28.5,13.9,5.4,9,59.5,0,0,0,3.2,4.5,71.7,2.5,6.1,8.5,1.2,1.9,1.3,1.8,3,29.9,8,0,6.5,2016
19,Moriah Jefferson,SAN,23,34,7,27,30.4,13.9,5.4,12.8,42.6,1,2.6,37.5,2,2.6,77.5,0.4,1.7,2.1,4.2,1.7,1.6,0.1,2.1,24.6,0,0,-7.2,2016
20,Kristi Toliver,LAS,30,33,26,7,32.1,13.2,4.3,10.1,42.6,2.5,5.8,42.4,2.2,2.5,88.9,0.4,2.2,2.6,3.7,1.4,0.8,0.1,1.8,23.8,1,0,8.9,2016
21,Skylar Diggins-Smith,DAL,26,27,9,18,28.3,13.1,4.2,10.7,39,0.9,2.9,29.9,3.9,4.9,78.8,0.4,1.4,1.9,3.4,2.3,1.1,0.3,2,21.9,0,0,-4,2016
22,Cappie Pondexter,CHI,34,33,18,15,27.5,12.9,4.9,11.5,42.9,0.5,1.4,36.2,2.5,2.8,88.2,0.4,2.5,2.8,2.7,1.5,0.9,0.1,1.7,21,0,0,1.1,2016
23,Alex Bentley,CON,26,34,14,20,28.8,12.9,5,12.9,38.5,1.4,4.9,28.6,1.5,1.9,78.5,0.3,1.6,1.9,2.5,1.4,0.9,0.1,2.5,20.6,0,0,-3.3,2016
24,Sue Bird,SEA,36,34,16,18,31.6,12.8,4.7,10.5,44.9,2.1,4.8,44.4,1.3,1.6,78.6,0.2,2.7,2.9,5.8,2.5,1,0.2,1.4,25.9,1,0,3,2016
25,Tamika Catchings,IND,37,34,17,17,24.8,12.7,4.3,9.9,43.3,1,2.9,35,3.1,3.6,86.2,1.2,3.6,4.8,1.9,1.2,1.8,0.3,2.1,24.7,0,0,1.5,2016
26,Chiney Ogwumike,CON,25,33,14,19,24.3,12.6,4.8,8.2,58.7,0,0,0,3,4.2,71.9,2.7,4,6.7,0.7,1.5,1,1,3.6,24,8,0,-0.2,2016
27,Penny Taylor,PHO,36,25,12,13,25.7,12.5,4.1,8.4,48.8,1.6,4,39.6,2.7,3,90.7,0.4,3.4,3.8,3.6,1.7,1.5,0.4,2.1,25.3,0,0,2.8,2016
28,Karima Christmas-Kelly,DAL,27,34,11,23,31.6,12.4,3.8,9.4,40,1.1,3.5,31.7,3.8,4.8,79.6,2.4,3.5,5.9,2.1,1.5,1.2,0.7,2.7,25.3,4,0,-2.5,2016
29,Elizabeth Williams,ATL,24,34,17,17,34.7,11.9,4.6,10.4,44.2,0,0,0,2.7,3.9,69.2,3.1,5,8.1,1.2,1.2,0.8,2.3,3.1,27.5,5,0,-0.7,2016
30,Plenette Pierson,DAL,35,27,9,18,26.6,11.9,4.3,11.1,38.7,1.1,3.3,33.7,2.1,2.6,82.9,1.3,3.2,4.6,2,1.8,0.8,0.4,3.6,21.9,2,0,-3.6,2016
31,Jasmine Thomas,CON,27,34,14,20,32.1,11.7,4.4,10.8,40.8,0.9,3,29.7,2,2.3,86.1,0.7,3.4,4.1,5.1,2.5,1.3,0.4,2.6,25,2,0,-1.8,2016
32,Candice Dupree,PHO,32,32,15,17,29.1,11.3,4.8,8.8,54.1,0,0,0,1.8,2.3,79.2,1.2,4.1,5.3,1.9,1.1,0.8,0.2,1.8,20.5,0,0,0.2,2016
33,Glory Johnson,DAL,26,18,6,12,27.9,11.3,4,9.1,44.2,0.2,0.8,28.6,3.1,4.1,75.3,2.7,6.3,8.9,1.3,1.4,0.9,0.6,2.2,24.8,7,0,-2.5,2016
34,Seimone Augustus,MIN,33,29,24,5,26.4,11.2,4.8,10.3,46,0.4,1.3,33.3,1.3,1.6,80.4,0.5,2.4,2.9,2.4,1.9,0.5,0.4,1.5,18.8,0,0,4.8,2016
35,Alyssa Thomas,CON,25,31,13,18,27.2,11.1,4.2,8.6,48.7,0,0,0,2.7,4.2,63.4,2,4,6,2.3,2.4,1.4,0.2,2.6,22.6,2,0,-1.8,2016
36,Monique Currie,SAN,34,34,7,27,25.5,10.7,3.7,9.5,38.6,0.7,2.3,32.1,2.6,2.9,91.8,1.1,3.3,4.4,2.1,1.8,0.8,0.4,2.6,20.3,1,0,-6.5,2016
37,Layshia Clarendon,ATL,26,34,17,17,28.2,10.4,3.6,7.8,46.6,0.5,1.5,34.6,2.6,3.4,76.5,1.3,3.1,4.3,3.5,2.2,0.7,0.1,2.3,20.4,0,0,-0.4,2016
38,Aerial Powers,DAL,23,32,11,21,19.2,10.4,3.1,7.9,39.4,1,2.7,36.8,3.2,3.8,83.5,0.8,1.9,2.7,1.1,1.6,1,0.2,2.3,17.7,1,0,-1.8,2016
39,Lindsay Whalen,MIN,35,32,27,5,24.6,9.8,3.8,7.5,51.3,0.1,0.3,27.3,2.1,2.3,89.2,0.5,2.1,2.6,3.8,1.5,0.6,0,1.6,17.6,0,0,5.5,2016
40,Shenise Johnson,IND,26,29,16,13,22.4,9.8,3.4,8.2,41,1,2.7,35.9,2.1,2.2,93.8,0.9,2.6,3.5,2.1,1.7,1.2,0.3,1.8,19.4,0,0,-1.4,2016
41,Briann January,IND,30,29,15,14,28.1,9.7,3,7.5,40.1,1,2.6,39.2,2.7,3,87.5,0.6,1.2,1.8,4.7,1.8,1.2,0.1,2.7,19.8,0,0,3.2,2016
42,Jantel Lavender,LAS,28,34,26,8,19.4,9.6,4.4,8.2,53.8,0,0,0,0.8,1.2,68.3,1.1,2.6,3.6,1.3,1.2,0.3,0.5,1.2,16.2,1,0,2.9,2016
43,Lynetta Kizer,IND,27,33,16,17,17.2,9.6,4.2,7.6,55.6,0,0,0,1.2,1.5,80,1.1,2.2,3.2,0.6,1.1,0.8,0.3,2.5,15.6,0,0,0.3,2016
44,Crystal Langhorne,SEA,30,33,15,18,25.6,9.5,3.8,6.1,63,0,0,100,1.8,2.4,75.9,1.3,4.2,5.5,1.4,1.6,0.7,0.3,1.8,18.5,2,0,2.7,2016
45,Allie Quigley,CHI,31,34,18,16,17.8,9.5,3.8,8.1,47.1,0.9,2.4,36.6,1,1.1,89.5,0.1,0.7,0.9,1.6,1.1,0.5,0.1,1,14.1,0,0,-0.3,2016
46,Courtney Vandersloot,CHI,28,30,18,12,24.3,9.5,3.2,7.6,41.9,0.9,2.5,35.1,2.2,2.4,90.4,0.4,2.2,2.7,4.7,1.6,1.4,0.1,2,20.7,0,0,0.6,2016
47,Stefanie Dolson,WAS,25,34,13,21,22.5,9.3,3.5,7.3,48.2,0.3,0.9,30,2.1,2.4,84.3,1.4,3.3,4.7,1.1,1.1,0.4,0.9,2.6,18,0,0,0.4,2016
48,Alysha Clark,SEA,29,33,16,17,27.6,9,3.2,6.6,48.4,1.1,2.8,38.7,1.5,1.8,84.7,1.2,2.5,3.7,1.9,1.3,0.7,0.1,2.6,17.2,0,0,2.3,2016
49,Dearica Hamby,SAN,23,25,6,19,25.3,9,3.2,7.7,42.2,0.1,0.6,14.3,2.4,3.3,72.3,1.4,3.6,5.1,1,1.6,0.5,0.5,2.3,17.1,1,0,-6,2016
50,Shavonte Zellous,NYL,30,33,20,13,23.3,8.8,2.8,6.8,40.3,0.2,0.8,19.2,3.1,3.7,85.1,0.5,1.9,2.5,2.2,1.3,0.9,0.2,1.9,15.7,0,0,1,2016
51,Tiffany Mitchell,IND,22,34,17,17,20,8.6,2.6,7.1,36.1,0.7,2.5,29.4,2.7,3,91.1,0.4,1.3,1.7,1.4,1.6,0.9,0.1,2.5,14.4,0,0,-0.6,2016
52,Tamera Young,CHI,30,32,17,15,25.8,8.5,3.5,7.8,45,0,0.1,0,1.5,1.9,79,1.4,3.2,4.5,1.4,1.1,0.8,0.1,2.6,16.3,0,0,0.5,2016
53,Erica Wheeler,IND,26,34,17,17,23.9,8.4,3.4,8,41.8,0.5,1.7,29.8,1.2,1.4,83.3,0.5,1.6,2.1,2.8,2,0.7,0,2.6,15.2,0,0,-0.9,2016
54,Marissa Coleman,IND,30,32,16,16,24.4,8.3,2.7,7.7,34.6,1,3.8,26.8,2,2.7,75.3,0.7,2.6,3.3,2,1.8,0.9,0.3,2.1,17,0,0,1.5,2016
55,Erlana Larkins,IND,31,33,17,16,26.7,8.3,3.2,5,63.9,0,0,0,1.8,2.1,88.4,2.3,5.1,7.4,2.1,1.6,0.9,0.5,2.4,20.5,6,0,0.3,2016
55,Ivory Latta,WAS,32,22,9,13,20.8,8.3,2.5,7.5,33.1,1.5,4.8,30.5,1.8,2,90.9,0.4,1.3,1.7,1.9,1.4,0.4,0,1.5,14.1,0,0,-0.7,2016
57,Essence Carson,LAS,30,34,26,8,23.3,8.1,3,6.7,44.9,0.7,1.9,35.9,1.4,1.6,89.1,0.4,1.6,2,1.5,1.2,1.1,0.2,1.4,15,0,0,3.4,2016
58,Kayla Alexander,SAN,26,25,6,19,19.6,8,3.1,5.6,54.6,0,0,0,1.8,2.4,75.4,1.9,2.6,4.5,0.5,1.1,0.4,0.5,2.2,15,1,0,-2.4,2016
59,Jamierra Faulkner,CHI,25,34,18,16,19.3,7.8,3,7.1,42.5,0.6,1.9,33.3,1.2,1.5,76.9,0.3,1.2,1.5,4.6,2.1,1.1,0.1,1.8,16.9,1,0,0.2,2016
60,Camille Smith,CON,32,33,14,19,24.7,7.8,2.9,7.6,38.4,0.9,2.7,32.2,1.1,1.7,63.2,0.8,2.2,3,2,1.7,1.2,0.3,2.8,16.5,0,0,-0.8,2016
61,Maggie Lucas,IND,25,4,2,2,13.8,7.8,2.8,5.3,52.4,0.5,2.5,20,1.8,1.8,100,0.3,1.8,2,0.8,1.3,0.5,0,2,12,0,0,-9.5,2016
62,Courtney Paris,DAL,29,34,11,23,24.3,7.7,3.5,6.4,54.8,0,0,0,0.7,1.3,55.6,2.8,5.2,8,1.1,0.8,0.4,0.9,3.3,19.4,8,0,-3.9,2016
63,Sancho Lyttle,ATL,33,19,10,9,30,7.6,3.3,7.8,41.6,0.1,0.5,22.2,1,1.3,76,2.2,5.6,7.8,1.8,1.2,2.1,1,2.3,23.5,5,0,2.8,2016
64,Bria Holmes,ATL,23,33,17,16,21.3,7.5,2.8,6.3,43.5,0.5,1.9,27.4,1.5,1.9,77.4,0.7,1.8,2.6,1.2,1.2,0.9,0.2,0.8,13.9,0,0,-4,2016
65,Renee Montgomery,MIN,30,34,28,6,19.3,7.5,2.6,6.4,39.7,0.8,2.5,32.1,1.6,1.9,82.8,0.2,0.7,0.9,2.8,1.7,1,0.1,1.4,14,0,0,4.7,2016
66,Rebekkah Brunson,MIN,35,33,27,6,24.6,7.4,2.8,5.8,47.7,0,0,0,1.8,2.1,85.7,2.2,5.1,7.3,1.8,0.8,0.9,0.3,2.5,18.8,2,0,3.9,2016
67,Tierra Ruffin-Pratt,WAS,26,32,13,19,24.4,7.3,2.3,6.2,36.9,0.5,1.6,32,2.2,3,74.7,1.1,3.4,4.5,2.6,1.5,1,0.3,2.5,17.4,0,0,-0.1,2016
68,LaToya Sanders,WAS,30,4,2,2,17.4,7.3,2.3,4.5,50,0,0,0,2.8,3.3,84.6,1,2,3,0.3,0.8,0.8,2.5,3,17,0,0,-2.8,2016
69,Alana Beard,LAS,35,34,26,8,29.3,7.1,2.9,6.3,46.7,0.4,1.1,34.2,0.8,1.1,69.2,0.9,2.4,3.3,2.1,1.3,1.7,0.6,2.8,17.5,0,0,6.4,2016
70,Morgan Tuck,CON,23,26,9,17,16.7,7,2.6,6.2,41.4,0.7,2.2,30.4,1.2,1.7,71.1,0.9,2,2.8,1.1,1,0.4,0.1,1,12.6,0,0,1,2016
71,Kiah Stokes,NYL,24,27,19,8,24.1,6.9,2.8,4.3,64.1,0,0,0,1.4,2.2,62.7,2.3,5.1,7.4,0.7,1.1,0.7,1.4,2.9,19.3,0,0,-0.8,2016
72,Jonquel Jones,CON,23,34,14,20,14.1,6.8,2.5,4.7,53.1,0.3,1,33.3,1.5,2,73.9,1.8,1.9,3.7,0.6,0.7,0.6,1.1,2.1,15,2,0,1.8,2016
73,Natasha Howard,MIN,25,34,28,6,14.6,6.7,2.7,4.8,57.4,0,0.1,20,1.2,1.8,67.7,1.2,2.4,3.6,0.8,1.1,0.7,0.8,2.9,14.1,0,0,3.7,2016
74,Tanisha Wright,NYL,33,29,19,10,23,6.7,2.7,6.8,40.1,0.1,0.6,23.5,1.1,1.6,71.7,0.8,1.5,2.3,3.6,2.3,0.9,0.2,2.4,14.9,0,0,1.5,2016
75,Imani McGee-Stafford,CHI,22,31,18,13,19,6.7,2.8,5.1,55.4,0,0,0,1.1,1.6,66,1.7,3.9,5.6,0.6,0.9,0.6,1.4,3,16.8,2,0,1.9,2016
76,Bria Hartley,WAS,24,24,9,15,16.9,6.5,2.1,5.5,37.6,0.9,2.4,36.2,1.5,1.9,80,0.4,1.6,2,2.3,1.5,0.4,0,1.8,12.5,0,0,0.1,2016
77,Brittany Boyd-Jones,NYL,24,33,20,13,19.7,6.5,2.3,6.3,36.1,0.2,1.1,16.7,1.8,2.5,72.8,0.5,2,2.5,3.6,2,1.6,0.1,2.5,16.2,0,0,0.1,2016
78,Jia Perkins,MIN,35,34,28,6,20.7,6.4,2.4,6.7,36.6,0.4,1.7,22.8,1.2,1.4,83.3,0.6,2,2.6,1.3,0.7,0.9,0.2,1.4,13,0,0,2.9,2016
79,Kia Vaughn,WAS,30,34,13,21,19.8,6.3,2.9,5.7,50.3,0,0,0,0.6,0.8,75,1.2,3.1,4.3,0.6,0.9,0.6,0.5,1.4,13.5,0,0,-2.7,2016
80,Courtney Williams,CON,23,25,13,12,14,6.2,2.7,6.6,41,0.3,1.1,29.6,0.5,0.8,57.1,1.1,1.9,3,1.2,0.8,0.5,0.1,1.2,12,0,0,4,2016
81,Kahleah Copper,WAS,22,30,9,21,16.2,6.2,2.2,5.2,41.7,0.5,1,46.7,1.4,2.1,68.3,0.4,2.6,3.1,0.8,1.1,0.5,0.1,1.8,11.7,0,0,-1.7,2016
82,Kelsey Bone,PHO,25,34,14,20,15.5,6.1,2.6,6.1,41.8,0.1,0.5,23.5,0.9,1.3,68.2,1,2.7,3.7,0.9,1.5,0.4,0.1,2.3,11.8,3,0,-6,2016
83,Jessica Breland,CHI,29,34,18,16,17.2,6,2.6,5.2,49.4,0,0,0,0.9,1.1,79.5,1.3,3.1,4.4,0.7,1.1,0.5,1.1,2.2,14.4,2,0,0.2,2016
84,Astou Ndour-Fall,SAN,22,30,5,25,14.9,6,2.2,5.5,39.6,0.7,2,34.4,1,1.2,82.9,0.8,2.3,3.2,0.4,0.5,0.4,0.9,1.6,12.9,0,0,-2.7,2016
85,Chelsea Gray,LAS,24,33,25,8,16.4,5.9,2.2,4.8,45.2,0.4,1.4,30.4,1.2,1.5,78,0.2,1.5,1.8,2.2,1.2,0.5,0.1,1.2,11.5,0,0,1.8,2016
86,Leilani Mitchell,WAS,32,10,4,6,16.1,5.9,2,4.6,43.5,1.1,3.1,35.5,0.8,1,80,0.3,1.4,1.7,1.9,1.3,0.1,0,1.7,10.8,0,0,1.5,2016
87,Erika de Souza,CHI,35,31,16,15,16.6,5.8,2.5,4.8,51.7,0,0,0,0.9,1.2,75,2,3.2,5.2,0.6,0.7,0.5,0.7,2,14.2,0,0,-1.9,2016
88,Haley Peters,SAN,24,34,7,27,17.5,5.8,2.2,6.3,34.9,0.5,2.1,25,0.8,1.1,75.7,0.5,1.8,2.3,0.8,0.8,0.4,0.2,1.9,10.5,0,0,-1.3,2016
89,Natasha Cloud,WAS,25,31,11,20,24.3,5.7,1.8,5.2,34.8,0.7,2.2,33.8,1.4,1.8,75.4,0.2,2.9,3,3.8,1.4,0.8,0.1,2.1,15.1,0,0,-1,2016
90,Rebecca Allen,NYL,24,21,12,9,13.3,5.7,2.1,4.7,45.9,0.8,1.4,56.7,0.6,0.7,86.7,0.6,1.1,1.7,0.5,0.6,0.4,0.5,1.7,10.6,0,0,-1.2,2016
91,Marta Xargay,PHO,26,15,8,7,19.8,5.7,2,5,40,0.9,2.6,33.3,0.8,1.1,70.6,0.7,1.1,1.7,2.7,1.8,1.1,0.2,3.7,13.7,0,0,2.8,2016
92,Ramu Tokashiki,SEA,26,31,15,16,13,5.3,1.9,4.1,47.2,0,0,0,1.5,1.8,81.8,0.9,1.5,2.5,0.3,0.8,0.5,0.1,2.7,9.3,0,0,-2.2,2016
93,Swin Cash,NYL,37,31,19,12,19.5,5.3,2,5.2,37.9,0,0.3,12.5,1.3,1.9,68.3,1.2,2.2,3.4,1.4,1.3,0.7,0.5,1.7,12.5,0,0,-0.4,2016
94,Devereaux Peters,IND,27,30,14,16,14.7,5.2,2.4,4.4,54.9,0,0.1,33.3,0.3,0.6,55.6,0.7,2.4,3,0.7,0.6,0.4,0.6,2,11,0,0,-2.8,2016
95,Kaleena Mosqueda-Lewis,SEA,23,32,15,17,12.4,5.2,1.8,4.7,39.1,1.1,3.1,35.4,0.4,0.6,77.8,0.3,0.6,0.8,0.8,0.8,0.2,0.1,1.5,8.4,0,0,0.5,2016
96,Carolyn Swords,NYL,27,34,21,13,17.5,5.2,2.2,3.9,57.1,0,0,0,0.7,1,68.6,1.6,3,4.6,0.7,1,0.2,0.6,2.1,12.1,0,0,0.2,2016
97,Epiphanny Prince,NYL,29,6,3,3,13.9,5.2,1.7,4.2,40,0.7,1.8,36.4,1.2,1.2,100,0.2,1.3,1.5,0.7,0.3,0.3,0,1.3,8.7,0,0,-4.2,2016
98,Sonja Petrovic,PHO,28,31,15,16,14.8,5.1,1.6,3.9,41.8,0.4,1,34.4,1.5,1.5,95.7,0.8,1.4,2.2,0.6,1,0.6,0.2,2.2,9.9,0,0,-3.1,2016
99,Sydney Colson,SAN,27,34,7,27,16.9,5.1,1.7,4,43.1,0.1,0.8,19.2,1.4,1.7,83.1,0.4,1.2,1.6,2.6,1.5,1.1,0,1.8,11.7,0,0,-2.3,2016
100,Amanda Zahui B,NYL,23,33,21,12,11.3,5,1.7,3.8,44.9,0.1,0.5,18.8,1.5,1.8,78.7,1.3,1.9,3.2,0.4,1.1,0.3,0.7,2.1,10.6,0,0,0.3,2016
101,Carla Cortijo,ATL,29,27,13,14,10.9,4.7,1.7,4.7,35.4,0.5,1.7,28.9,0.9,1.2,78.1,0.1,1.4,1.6,1.6,1,0.3,0,1.2,9,0,0,-1.1,2016
102,Tianna Hawkins,WAS,26,24,9,15,10.5,4.7,1.8,3.5,49.4,0.5,0.9,50,0.8,0.9,85.7,1,1.5,2.5,0.4,1,0.2,0.2,2.2,8.8,0,0,-2,2016
103,Erin Phillips,DAL,32,32,11,21,14.6,4.7,1.5,3.5,43.8,0.7,1.9,38.3,0.9,1,90.6,0.5,0.7,1.2,1.2,0.8,0.2,0.1,1,8.3,0,0,-3.6,2016
104,Jayne Appel Marinelli,SAN,29,34,7,27,23.1,4.1,1.5,3.5,42.9,0,0.1,0,1.1,1.4,73.5,1.2,4.2,5.4,2.1,1.6,0.9,1,3.3,15.4,0,0,-6,2016
105,Cheyenne Parker-Tyus,CHI,24,25,14,11,12.6,4,1.7,3.3,50.6,0,0,0,0.7,1.3,53.1,1.4,1.8,3.2,0.2,0.8,0.5,0.2,1.7,8.9,1,0,0.6,2016
106,Shekinna Stricklen,CON,26,28,13,15,10.9,4,1.4,3.7,36.5,1,2.8,35.1,0.3,0.5,64.3,0.3,1,1.4,0.5,0.1,0.4,0.1,0.7,7.9,0,0,0.1,2016
106,Theresa Plaisance,DAL,25,27,11,16,11.8,4,1.6,4,39.8,0.6,1.7,33.3,0.3,0.4,63.6,0.8,1.7,2.5,0.3,0.7,0.3,0.4,2.3,8.7,0,0,-2.3,2016
106,Vicki Baugh,SAN,28,11,2,9,13.4,4,1.7,3,57.6,0,0,0,0.5,0.8,66.7,1.5,2.3,3.7,0.3,1.3,0.4,0.3,2.3,9.3,0,0,-3.3,2016
109,Lindsey Harding,PHO,33,26,14,12,17,3.8,1.5,4.1,35.8,0.1,0.3,25,0.8,1,88,0.2,1.8,1.9,2.4,1,0.5,0.1,1.3,9.3,0,0,-0.8,2016
110,Jordan Hooper,DAL,25,32,10,22,9.1,3.7,1.3,3.5,37.5,0.9,2.6,34.1,0.2,0.3,87.5,0.3,0.9,1.2,0.2,0.5,0.2,0.1,1,6.4,0,0,-1.8,2016
111,Rachel Banham,CON,23,15,4,11,10.9,3.7,1.3,3.3,40.8,0.9,2.5,35.1,0.1,0.2,66.7,0.1,0.7,0.7,0.9,0.5,0.5,0.1,1.3,7.4,0,0,0.3,2016
112,Natalie Achonwa,IND,24,24,9,15,8.1,3.6,1.5,2.8,54.5,0,0,0,0.6,0.8,70,0.7,1.3,2,0.3,0.5,0.4,0,1.1,6.7,0,0,-1.2,2016
113,Alex Montgomery,SAN,28,25,5,20,14.3,3.6,1.4,3.9,35.7,0.4,1.3,31.3,0.4,0.5,75,0.6,1.5,2.1,1.6,0.8,0.4,0.2,1.5,8.8,0,0,-3,2016
114,Reshanda Gray,ATL,24,28,14,14,9.6,3.4,1.4,2.6,52.1,0,0,0,0.7,1.3,55.6,0.9,1.7,2.5,0.1,0.6,0.1,0.1,2.3,6.7,1,0,-0.4,2016
115,Janel McCarville,MIN,34,33,27,6,12.6,3.3,1.5,3.2,45.7,0.1,0.3,18.2,0.4,0.6,60,0.7,1.9,2.5,1.6,0.7,0.6,0.3,1.6,9.5,0,0,4.2,2016
116,Jazmon Gwathmey,SAN,24,22,3,19,16,3.3,1.2,3.5,34.6,0.4,1.2,33.3,0.5,0.6,76.9,0.4,1.3,1.7,0.7,0.5,0.4,0.4,1.7,7.6,0,0,-2.6,2016
117,Matee Ajavon,ATL,31,32,16,16,10.6,3.3,1.1,3.7,30.5,0.1,0.4,23.1,0.9,1.3,75,0.6,1,1.6,1.2,1,0.4,0.3,1.6,7.4,0,0,-1.2,2016
